year,mode,manufacturer,vin,miles,reported_events
2020,safety-driver,Pony.ai,3LN6L5MU0JR608710,13782.0,2
2020,safety-driver,Pony.ai,3LN6L5MU3KR620979,9594.0,2
2020,safety-driver,Pony.ai,3LN6L5MU5HR634813,12901.0,0
2020,safety-driver,Pony.ai,3LN6L5MU9HR606240,0.0,0
2020,safety-driver,Pony.ai,3LN6L5MU9KR623692,9644.0,1
2020,safety-driver,Pony.ai,3LN6L5MUXHR603170,0.0,0
2020,safety-driver,Pony.ai,JTDKARFU2J3060995,3517.0,0
2020,safety-driver,Pony.ai,JTDKARFU5J3549486,2116.0,0
2020,safety-driver,Pony.ai,KM8K23AG0KU030901,12698.0,1
2020,safety-driver,Pony.ai,KM8K23AG2KU030916,15982.0,1
2020,safety-driver,Pony.ai,KM8K23AG3LU072335,58.0,0
2020,safety-driver,Pony.ai,KM8K23AG4KU030822,13335.0,1
2020,safety-driver,Pony.ai,KM8K23AG4KU030836,12102.0,0
2020,safety-driver,Pony.ai,KM8K23AG4LU072537,0.0,0
2020,safety-driver,Pony.ai,KM8K23AG5KU030909,8818.0,0
2020,safety-driver,Pony.ai,KM8K23AG5LU072529,0.0,0
2020,safety-driver,Pony.ai,KM8K23AG5LU072708,2111.0,1
2020,safety-driver,Pony.ai,KM8K23AG6KU030241,10300.0,1
2020,safety-driver,Pony.ai,KM8K23AG6KU030255,10856.0,0
2020,safety-driver,Pony.ai,KM8K23AG7KU030829,9550.0,2
2020,safety-driver,Pony.ai,KM8K23AG7KU030894,15907.0,1
2020,safety-driver,Pony.ai,KM8K23AG7LU072497,1876.0,1
2020,safety-driver,Pony.ai,KM8K23AG9KU030248,13373.0,1
2020,safety-driver,Pony.ai,KM8K31AG9JU000075,0.0,0
2020,safety-driver,Pony.ai,KM8K33AG2KU054517,3282.0,0
2020,safety-driver,Qualcomm,3LN6L5LU0HR663007,1075.0,29
2020,safety-driver,Qualcomm,3LN6L5LU9HR650658,184.0,23
2020,safety-driver,Qualcomm,3LN6L5MU1JR627234,468.0,38
2020,safety-driver,Ridecell,3FA6P0RU5JR110979,147.63,189
2020,safety-driver,SF Motors,3LN6L5LU4JR627181,728.43,48
2020,safety-driver,SF Motors,3LN6L5MU5HR665513,146.26,13
2020,safety-driver,Telenav,3LN6L2LU7GR627456,4.0,2
2020,safety-driver,Toyota Research Institute,JTHCYLFF0J5001364,583.0,114
2020,safety-driver,Toyota Research Institute,JTHCYLFF9J5001363,325.0,191
2020,safety-driver,Toyota Research Institute,JTHCYLFFXJ5001291,623.0,110
2020,safety-driver,Toyota Research Institute,JTHDU1EF0G5020107,280.0,190
2020,safety-driver,Toyota Research Institute,JTHDU1EF0G5020124,293.0,218
2020,safety-driver,Toyota Research Institute,JTHDU1EF3G5020098,444.0,228
2020,safety-driver,Toyota Research Institute,JTHDU1EF6G5020094,327.0,164
2020,safety-driver,Udelv,NM0LE7F71J1361953,0.0,0
2020,safety-driver,Udelv,NM0LS7F79J1360493,66.0,49
2020,safety-driver,Valeo,1V2NR2CA2JC509341,0.0,0
2020,safety-driver,Valeo,SALVN2BG7FH960125,49.0,99
2020,safety-driver,Waymo,2C4RC1K70HR534647,0.0,0
2020,safety-driver,Waymo,2C4RC1K70HR534650,1299.1,0
2020,safety-driver,Waymo,2C4RC1K70HR534664,2658.6,0
2020,safety-driver,Waymo,2C4RC1K70HR534681,5598.4,0
2020,safety-driver,Waymo,2C4RC1K70HR534695,1266.6,0
2020,safety-driver,Waymo,2C4RC1K70HR797298,0.0,0
2020,safety-driver,Waymo,2C4RC1K70HR797317,978.0,0
2020,safety-driver,Waymo,2C4RC1K70HR797365,0.1,0
2020,safety-driver,Waymo,2C4RC1K70HR797379,13227.5,0
2020,safety-driver,Waymo,2C4RC1K70HR797415,650.2,0
2020,safety-driver,Waymo,2C4RC1K70HR805478,6277.0,0
2020,safety-driver,Waymo,2C4RC1K70HR805481,6.8,0
2020,safety-driver,Waymo,2C4RC1K70HR827271,13079.3,1
2020,safety-driver,Waymo,2C4RC1K70HR833796,9941.0,1
2020,safety-driver,Waymo,2C4RC1K70HR833877,3980.3,0
2020,safety-driver,Waymo,2C4RC1K70HR836181,0.0,0
2020,safety-driver,Waymo,2C4RC1K71HR534642,0.0,0
2020,safety-driver,Waymo,2C4RC1K71HR534673,2887.6,0
2020,safety-driver,Waymo,2C4RC1K71HR534687,3461.2,0
2020,safety-driver,Waymo,2C4RC1K71HR695699,6100.3,1
2020,safety-driver,Waymo,2C4RC1K71HR797293,0.0,0
2020,safety-driver,Waymo,2C4RC1K71HR797343,9965.0,0
2020,safety-driver,Waymo,2C4RC1K71HR805490,0.0,0
2020,safety-driver,Waymo,2C4RC1K71HR805523,95.7,0
2020,safety-driver,Waymo,2C4RC1K71HR822192,41.3,0
2020,safety-driver,Waymo,2C4RC1K71HR822208,149.2,0
2020,safety-driver,Waymo,2C4RC1K71HR833810,404.3,0
2020,safety-driver,Waymo,2C4RC1K71HR833838,38.0,0
2020,safety-driver,Waymo,2C4RC1K71HR833841,767.7,0
2020,safety-driver,Waymo,2C4RC1K72HR534665,6509.4,0
2020,safety-driver,Waymo,2C4RC1K72HR534696,4438.5,0
2020,safety-driver,Waymo,2C4RC1K72HR534701,3275.7,0
2020,safety-driver,Waymo,2C4RC1K72HR797318,6488.5,0
2020,safety-driver,Waymo,2C4RC1K72HR805465,1719.9,0
