year,mode,manufacturer,date,date_in_period,vin,driverless_capable,driver_present,initiated_by,location,cause_text,cause_category
2020,safety-driver,Apple,2020-10-09T00:00:00,True,2T2BGMCA2HC020151,False,True,Test Driver,Street,Incorrect prediction lead to undesirable motion plan ,Planning
2020,safety-driver,Apple,2020-10-09T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-12T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-13T00:00:00,True,2T2BGMCA2HC020151,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-13T00:00:00,True,2T2BGMCA2HC020151,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-13T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-14T00:00:00,True,2T2BGMCA8HC020137,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-28T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-28T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-10-28T00:00:00,True,2T2BGMCA5HC014389,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Apple,2020-11-04T00:00:00,True,2T2BGMCA2HC020151,False,True,AV System,Street,Hardware diagnostic caused software kickout,Hardware-Software
2020,safety-driver,Aurora,2019-12-04T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Unexpected or reckless behavior of other road user,Other-Road-User
2020,safety-driver,Aurora,2019-12-05T00:00:00,True,3LN6L5MU1HR646151,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2019-12-06T00:00:00,True,3LN6L5MU6HR643536,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2019-12-07T00:00:00,True,3LN6L5MU1HR646151,False,,Yes,Street,Planning Discrepancy: Incorrect behavior while following a vehicle,Planning
2020,safety-driver,Aurora,2019-12-11T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5LU0HR664920,False,,Yes,Street,Planning Discrepancy: Poor trajectory across lanes,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5LU0HR664920,False,,Yes,Street,Planning Module Failure due to mapping issue,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5MU1HR646151,False,,Yes,Street,Planning Module Failure due to mapping issue,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5MU1HR646151,False,,Yes,Street,Planning Module Failure due to mapping issue,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5MU6HR643536,False,,Yes,Street,Planning Module Failure due to mapping issue,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5MU6HR643536,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2019-12-13T00:00:00,True,3LN6L5MU6HR643536,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2019-12-14T00:00:00,True,3LN6L5MU1HR646151,False,,Yes,Street,Planning Module Failure due to mapping issue,Planning
2020,safety-driver,Aurora,2019-12-17T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2019-12-17T00:00:00,True,3LN6L5MU6HR643536,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2019-12-18T00:00:00,True,3LN6L5MU6HR643536,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2019-12-19T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2019-12-20T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2019-12-20T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2019-12-20T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy:  Poor lane change in contested target lane,Planning
2020,safety-driver,Aurora,2020-01-03T00:00:00,True,3LN6L5MU6HR643536,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2020-01-29T00:00:00,True,3LN6L5MU8HR644610,False,,Yes,Street,Perception Discrepancy: Lost track of open door of parked vehicle,Perception
2020,safety-driver,Aurora,2020-01-30T00:00:00,True,3LN6L5LU0HR664920,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2020-01-30T00:00:00,True,3LN6L5LU0HR664920,False,,Yes,Street,Planning Module Failure due to software issue,Planning
2020,safety-driver,Aurora,2020-02-03T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: AV reacted poorly for merging vehicle,Planning
2020,safety-driver,Aurora,2020-02-18T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2020-02-26T00:00:00,True,3LN6L5LU0HR664920,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
2020,safety-driver,Aurora,2020-03-04T00:00:00,True,3LN6L5LU5HR650656,False,,Yes,Street,Planning Discrepancy: Failure to yield to other actors,Planning
